2015-07-08 08:57:27	初始化MYSQL连接
2015-07-08 08:57:27	MYSQL连接成功
2015-07-08 09:01:47	MYSQL连接成功
2015-07-08 09:49:09	初始化MYSQL连接
2015-07-08 09:49:09	MYSQL连接成功
2015-07-08 10:02:07	connect : 192.168.1.84 port : 8000....

2015-07-08 10:02:07	初始化MYSQL连接
2015-07-08 10:02:07	MYSQL连接成功
2015-07-08 10:02:32	MYSQL连接成功
2015-07-08 10:07:09	MYSQL连接成功
2015-07-08 10:08:08	初始化MYSQL连接
2015-07-08 10:08:08	MYSQL连接成功
2015-07-08 10:11:43	初始化MYSQL连接
2015-07-08 10:11:43	MYSQL连接成功
2015-07-08 10:15:50	MYSQL连接成功
2015-07-08 10:18:00	connect : 192.168.1.84 port : 8000....

2015-07-08 10:18:00	初始化MYSQL连接
2015-07-08 10:18:00	MYSQL连接成功
2015-07-08 10:19:32	MYSQL连接成功
2015-07-08 10:23:34	初始化MYSQL连接
2015-07-08 10:23:34	MYSQL连接成功
2015-07-08 10:36:33	connect : 192.168.1.84 port : 8000....

2015-07-08 10:36:33	初始化MYSQL连接
2015-07-08 10:36:33	MYSQL连接成功
2015-07-08 10:38:41	connect : 192.168.1.84 port : 8000....

2015-07-08 10:38:41	初始化MYSQL连接
2015-07-08 10:38:42	MYSQL连接成功
2015-07-08 10:40:56	connect : 192.168.1.84 port : 8000....

2015-07-08 10:40:56	初始化MYSQL连接
2015-07-08 10:40:56	MYSQL连接成功
2015-07-08 10:44:25	MYSQL连接成功
2015-07-08 10:45:42	初始化MYSQL连接
2015-07-08 10:45:42	MYSQL连接成功
2015-07-08 10:46:54	初始化MYSQL连接
2015-07-08 10:46:54	MYSQL连接成功
